bacterial infections and mycoses,c01
trochlear nerve injuries,c10.900.300.218.831
vagus nerve injuries,c10.900.300.218.887
laryngeal nerve injuries,c10.900.300.218.887.750
recurrent laryngeal nerve injuries,c10.900.300.218.887.750.500
vestibulocochlear nerve injuries,c10.900.300.218.943
facial injuries,c10.900.300.284
eye injuries,c10.900.300.284.250
corneal injuries,c10.900.300.284.250.124
corneal perforation,c10.900.300.284.250.124.500
eye burns,c10.900.300.284.250.250
eye foreign bodies,c10.900.300.284.250.260
"eye injuries, penetrating",c10.900.300.284.250.270
maxillofacial injuries,c10.900.300.284.500
jaw fractures,c10.900.300.284.500.400
mandibular fractures,c10.900.300.284.500.400.255
maxillary fractures,c10.900.300.284.500.400.510
mandibular injuries,c10.900.300.284.500.500
orbital fractures,c10.900.300.284.500.550
zygomatic fractures,c10.900.300.284.500.950
"head injuries, closed",c10.900.300.350
brain concussion,c10.900.300.350.300
contrecoup injury,c10.900.300.350.300.250
post-concussion syndrome,c10.900.300.350.300.500
"head injuries, penetrating",c10.900.300.675
"intracranial hemorrhage, traumatic",c10.900.300.837
"brain hemorrhage, traumatic",c10.900.300.837.150
"brain stem hemorrhage, traumatic",c10.900.300.837.150.300
"cerebral hemorrhage, traumatic",c10.900.300.837.150.650
"hematoma, epidural, cranial",c10.900.300.837.300
"hematoma, subdural",c10.900.300.837.600
"hematoma, subdural, acute",c10.900.300.837.600.050
"hematoma, subdural, chronic",c10.900.300.837.600.120
"hematoma, subdural, intracranial",c10.900.300.837.600.400
"subarachnoid hemorrhage, traumatic",c10.900.300.837.800
skull fractures,c10.900.300.918
"skull fracture, basilar",c10.900.300.918.150
"skull fracture, depressed",c10.900.300.918.300
peripheral nerve injuries,c10.900.575
spinal cord injuries,c10.900.850
autonomic dysreflexia,c10.900.850.250
central cord syndrome,c10.900.850.625
eye diseases,c11
asthenopia,c11.093
cogan syndrome,c11.180
conjunctival diseases,c11.187
conjunctival neoplasms,c11.187.169
conjunctivitis,c11.187.183
"conjunctivitis, allergic",c11.187.183.200
"conjunctivitis, bacterial",c11.187.183.220
"conjunctivitis, inclusion",c11.187.183.220.250
ophthalmia neonatorum,c11.187.183.220.538
trachoma,c11.187.183.220.889
"conjunctivitis, viral",c11.187.183.240
"conjunctivitis, acute hemorrhagic",c11.187.183.240.216
keratoconjunctivitis,c11.187.183.394
keratoconjunctivitis sicca,c11.187.183.394.500
"keratoconjunctivitis, infectious",c11.187.183.394.520
"pemphigoid, benign mucous membrane",c11.187.482
pinguecula,c11.187.631
pterygium,c11.187.781
xerophthalmia,c11.187.810
corneal diseases,c11.204
"corneal dystrophies, hereditary",c11.204.236
"corneal dystrophy, juvenile epithelial of meesmann",c11.204.236.218
fuchs' endothelial dystrophy,c11.204.236.438
corneal edema,c11.204.267
corneal endothelial cell loss,c11.204.278
corneal injuries,c11.204.284
corneal perforation,c11.204.284.500
corneal neovascularization,c11.204.290
corneal opacity,c11.204.299
arcus senilis,c11.204.299.070
corneal wavefront aberration,c11.204.431
iridocorneal endothelial syndrome,c11.204.497
keratitis,c11.204.564
acanthamoeba keratitis,c11.204.564.112
corneal ulcer,c11.204.564.225
"keratitis, herpetic",c11.204.564.425
"keratitis, dendritic",c11.204.564.425.450
keratoconjunctivitis,c11.204.564.585
"keratoconjunctivitis, infectious",c11.204.564.585.500
keratoconjunctivitis sicca,c11.204.564.585.630
keratoconus,c11.204.627
trachoma,c11.204.813
eye abnormalities,c11.250
aniridia,c11.250.060
wagr syndrome,c11.250.060.950
anophthalmos,c11.250.080
blepharophimosis,c11.250.090
coloboma,c11.250.110
ectopia lentis,c11.250.300
fraser syndrome,c11.250.390
hydrophthalmos,c11.250.480
microphthalmos,c11.250.566
persistent hyperplastic primary vitreous,c11.250.616
retinal dysplasia,c11.250.666
"eye diseases, hereditary",c11.270
aicardi syndrome,c11.270.019
albinism,c11.270.040
"albinism, ocular",c11.270.040.090
"albinism, oculocutaneous",c11.270.040.545
hermanski-pudlak syndrome,c11.270.040.545.400
chediak-higashi syndrome,c11.270.040.772
aleutian mink disease,c11.270.040.772.270
aniridia,c11.270.060
wagr syndrome,c11.270.060.950
choroideremia,c11.270.142
coloboma,c11.270.147
charge syndrome,c11.270.147.500
mandibulofacial dysostosis,c11.270.147.750
cone dystrophy,c11.270.151
color vision defects,c11.270.151.500
cone-rod dystrophies,c11.270.152
"corneal dystrophies, hereditary",c11.270.162
"corneal dystrophy, juvenile epithelial of meesmann",c11.270.162.218
fuchs' endothelial dystrophy,c11.270.162.438
duane retraction syndrome,c11.270.235
graves ophthalmopathy,c11.270.240
gyrate atrophy,c11.270.468
leber congenital amaurosis,c11.270.516
"optic atrophies, hereditary",c11.270.564
"optic atrophy, autosomal dominant",c11.270.564.100
"optic atrophy, hereditary, leber",c11.270.564.400
wolfram syndrome,c11.270.564.980
retinal degeneration,c11.270.612
retinal dysplasia,c11.270.660
retinitis pigmentosa,c11.270.684
alstrom syndrome,c11.270.684.249
bardet-biedl syndrome,c11.270.684.624
retinoblastoma,c11.270.862
walker-warburg syndrome,c11.270.881
weill-marchesani syndrome,c11.270.921
eye hemorrhage,c11.290
choroid hemorrhage,c11.290.195
hyphema,c11.290.484
retinal hemorrhage,c11.290.807
vitreous hemorrhage,c11.290.960
eye infections,c11.294
corneal ulcer,c11.294.177
endophthalmitis,c11.294.265
"uveitis, suppurative",c11.294.265.500
"eye infections, bacterial",c11.294.354
"conjunctivitis, bacterial",c11.294.354.220
"conjunctivitis, inclusion",c11.294.354.220.250
ophthalmia neonatorum,c11.294.354.220.625
trachoma,c11.294.354.220.800
hordeolum,c11.294.354.400
"keratoconjunctivitis, infectious",c11.294.354.450
"tuberculosis, ocular",c11.294.354.800
"uveitis, suppurative",c11.294.354.900
panophthalmitis,c11.294.354.900.675
"eye infections, fungal",c11.294.450
"uveitis, suppurative",c11.294.450.900
panophthalmitis,c11.294.450.900.675
"eye infections, parasitic",c11.294.725
acanthamoeba keratitis,c11.294.725.125
"onchocerciasis, ocular",c11.294.725.562
"toxoplasmosis, ocular",c11.294.725.781
"eye infections, viral",c11.294.800
"conjunctivitis, viral",c11.294.800.250
"conjunctivitis, acute hemorrhagic",c11.294.800.250.250
cytomegalovirus retinitis,c11.294.800.270
herpes zoster ophthalmicus,c11.294.800.450
"keratitis, herpetic",c11.294.800.475
"keratitis, dendritic",c11.294.800.475.450
eye injuries,c11.297
"anterior capsular rupture, ocular",c11.297.249
corneal injuries,c11.297.374
corneal perforation,c11.297.374.500
"posterior capsular rupture, ocular",c11.297.500
eye manifestations,c11.300
eye pain,c11.300.500
eye neoplasms,c11.319
conjunctival neoplasms,c11.319.217
eyelid neoplasms,c11.319.421
orbital neoplasms,c11.319.457
"paraneoplastic syndromes, ocular",c11.319.466
retinal neoplasms,c11.319.475
retinoblastoma,c11.319.475.760
uveal neoplasms,c11.319.494
choroid neoplasms,c11.319.494.198
iris neoplasms,c11.319.494.400
eyelid diseases,c11.338
blepharitis,c11.338.133
blepharophimosis,c11.338.190
blepharoptosis,c11.338.204
blepharospasm,c11.338.250
chalazion,c11.338.300
ectropion,c11.338.362
entropion,c11.338.443
eyelid neoplasms,c11.338.526
hordeolum,c11.338.648
trichiasis,c11.338.912
lacrimal apparatus diseases,c11.496
dacryocystitis,c11.496.221
canaliculitis,c11.496.221.500
dry eye syndromes,c11.496.260
keratoconjunctivitis sicca,c11.496.260.394
sjogren's syndrome,c11.496.260.719
xerophthalmia,c11.496.260.892
lacrimal duct obstruction,c11.496.456
lens diseases,c11.510
aphakia,c11.510.103
"aphakia, postcataract",c11.510.103.110
artificial lens implant migration,c11.510.174
cataract,c11.510.245
capsule opacification,c11.510.245.500
lens subluxation,c11.510.598
ectopia lentis,c11.510.598.373
ocular hypertension,c11.525
glaucoma,c11.525.381
"glaucoma, angle-closure",c11.525.381.056
"glaucoma, neovascular",c11.525.381.348
"glaucoma, open-angle",c11.525.381.407
hydrophthalmos,c11.525.381.407.480
low tension glaucoma,c11.525.381.703
ocular hypotension,c11.540
ocular motility disorders,c11.590
duane retraction syndrome,c11.590.224
miller fisher syndrome,c11.590.312
"nystagmus, pathologic",c11.590.400
"nystagmus, congenital",c11.590.400.300
oculomotor nerve diseases,c11.590.436
adie syndrome,c11.590.436.200
oculomotor nerve injuries,c11.590.436.600
ophthalmoplegia,c11.590.472
"ophthalmoplegia, chronic progressive external",c11.590.472.250
kearns-sayre syndrome,c11.590.472.250.500
ophthalmoplegic migraine,c11.590.472.375
"supranuclear palsy, progressive",c11.590.472.500
opsoclonus-myoclonus syndrome,c11.590.725
strabismus,c11.590.810
esotropia,c11.590.810.400
exotropia,c11.590.810.440
tolosa-hunt syndrome,c11.590.905
optic nerve diseases,c11.640
low tension glaucoma,c11.640.225
optic atrophy,c11.640.451
"optic atrophies, hereditary",c11.640.451.451
"optic atrophy, autosomal dominant",c11.640.451.451.100
"optic atrophy, hereditary, leber",c11.640.451.451.400
wolfram syndrome,c11.640.451.451.980
optic disk drusen,c11.640.513
optic nerve injuries,c11.640.530
optic nerve neoplasms,c11.640.544
optic nerve glioma,c11.640.544.500
optic neuritis,c11.640.576
neuromyelitis optica,c11.640.576.695
"optic neuropathy, ischemic",c11.640.643
papilledema,c11.640.710
orbital diseases,c11.675
enophthalmos,c11.675.319
exophthalmos,c11.675.349
graves disease,c11.675.349.500
graves ophthalmopathy,c11.675.349.500.500
orbital cellulitis,c11.675.387
orbital myositis,c11.675.426
orbital neoplasms,c11.675.659
orbital pseudotumor,c11.675.679
pott puffy tumor,c11.675.689
retrobulbar hemorrhage,c11.675.700
pupil disorders,c11.710
anisocoria,c11.710.090
miosis,c11.710.528
horner syndrome,c11.710.528.500
mydriasis,c11.710.570
tonic pupil,c11.710.800
adie syndrome,c11.710.800.180
refractive errors,c11.744
aniseikonia,c11.744.116
anisometropia,c11.744.126
astigmatism,c11.744.212
corneal wavefront aberration,c11.744.345
hyperopia,c11.744.479
myopia,c11.744.636
"myopia, degenerative",c11.744.636.500
presbyopia,c11.744.786
retinal diseases,c11.768
angioid streaks,c11.768.094
central serous chorioretinopathy,c11.768.175
cone dystrophy,c11.768.216
diabetic retinopathy,c11.768.257
epiretinal membrane,c11.768.328
hypertensive retinopathy,c11.768.346
leber congenital amaurosis,c11.768.364
retinal artery occlusion,c11.768.400
susac syndrome,c11.768.400.500
retinal degeneration,c11.768.585
macular degeneration,c11.768.585.439
geographic atrophy,c11.768.585.439.122
macular edema,c11.768.585.439.245
vitelliform macular dystrophy,c11.768.585.439.433
wet macular degeneration,c11.768.585.439.622
retinal drusen,c11.768.585.585
retinal dystrophies,c11.768.585.658
cone-rod dystrophies,c11.768.585.658.250
retinitis pigmentosa,c11.768.585.658.500
kearns-sayre syndrome,c11.768.585.658.500.627
usher syndromes,c11.768.585.658.500.813
retinoschisis,c11.768.585.865
retinal detachment,c11.768.648
retinal dysplasia,c11.768.660
retinal hemorrhage,c11.768.710
retinal neoplasms,c11.768.717
retinoblastoma,c11.768.717.760
retinal neovascularization,c11.768.725
retinal perforations,c11.768.740
retinal telangiectasis,c11.768.748
retinal vasculitis,c11.768.757
retinal vein occlusion,c11.768.760
retinitis,c11.768.773
chorioretinitis,c11.768.773.348
cytomegalovirus retinitis,c11.768.773.360
"retinal necrosis syndrome, acute",c11.768.773.674
retinopathy of prematurity,c11.768.836
"vitreoretinopathy, proliferative",c11.768.890
scleral diseases,c11.790
scleritis,c11.790.500
uveal diseases,c11.941
choroid diseases,c11.941.160
choroid hemorrhage,c11.941.160.177
choroid neoplasms,c11.941.160.238
choroidal neovascularization,c11.941.160.244
choroideremia,c11.941.160.300
choroiditis,c11.941.160.478
chorioretinitis,c11.941.160.478.400
pars planitis,c11.941.160.478.700
gyrate atrophy,c11.941.160.578
iris diseases,c11.941.375
aniridia,c11.941.375.060
wagr syndrome,c11.941.375.060.950
exfoliation syndrome,c11.941.375.285
iridocorneal endothelial syndrome,c11.941.375.322
iridocyclitis,c11.941.375.360
iris neoplasms,c11.941.375.375
iritis,c11.941.375.385
uveal neoplasms,c11.941.855
choroid neoplasms,c11.941.855.198
iris neoplasms,c11.941.855.400
uveitis,c11.941.879
panuveitis,c11.941.879.780
"ophthalmia, sympathetic",c11.941.879.780.500
"uveitis, anterior",c11.941.879.780.880
behcet syndrome,c11.941.879.780.880.200
iridocyclitis,c11.941.879.780.880.400
iritis,c11.941.879.780.880.448
"uveitis, posterior",c11.941.879.780.900
choroiditis,c11.941.879.780.900.300
chorioretinitis,c11.941.879.780.900.300.318
pars planitis,c11.941.879.780.900.300.659
"uveitis, intermediate",c11.941.879.900
pars planitis,c11.941.879.900.500
"uveitis, suppurative",c11.941.879.960
panophthalmitis,c11.941.879.960.580
uveomeningoencephalitic syndrome,c11.941.879.980
vision disorders,c11.966
amblyopia,c11.966.073
blindness,c11.966.075
amaurosis fugax,c11.966.075.125
"blindness, cortical",c11.966.075.250
deaf-blind disorders,c11.966.075.375
usher syndromes,c11.966.075.375.500
wolfram syndrome,c11.966.075.375.750
hemianopsia,c11.966.075.500
color vision defects,c11.966.256
diplopia,c11.966.339
night blindness,c11.966.671
photophobia,c11.966.741
scotoma,c11.966.811
susac syndrome,c11.966.858
"vision, low",c11.966.905
vitreous detachment,c11.980
male urogenital diseases,c12
"genital diseases, male",c12.294
epididymitis,c12.294.199
fournier gangrene,c12.294.229
"genital neoplasms, male",c12.294.260
penile neoplasms,c12.294.260.500
prostatic neoplasms,c12.294.260.750
"prostatic neoplasms, castration-resistant",c12.294.260.750.500
testicular neoplasms,c12.294.260.937
sertoli-leydig cell tumor,c12.294.260.937.500
leydig cell tumor,c12.294.260.937.500.249
sertoli cell tumor,c12.294.260.937.500.500
hematocele,c12.294.287
hemospermia,c12.294.293
herpes genitalis,c12.294.329
infertility,c12.294.365
"infertility, male",c12.294.365.700
aspermia,c12.294.365.700.126
asthenozoospermia,c12.294.365.700.253
azoospermia,c12.294.365.700.380
oligospermia,c12.294.365.700.508
sertoli cell-only syndrome,c12.294.365.700.754
teratozoospermia,c12.294.365.700.877
penile diseases,c12.294.494
balanitis,c12.294.494.136
balanitis xerotica obliterans,c12.294.494.136.500
hypospadias,c12.294.494.400
penile induration,c12.294.494.508
penile neoplasms,c12.294.494.591
phimosis,c12.294.494.684
paraphimosis,c12.294.494.684.587
priapism,c12.294.494.786
prostatic diseases,c12.294.565
prostatic hyperplasia,c12.294.565.500
prostatic neoplasms,c12.294.565.625
"prostatic neoplasms, castration-resistant",c12.294.565.625.500
prostatitis,c12.294.565.750
reproductive tract infections,c12.294.604
"sexual dysfunction, physiological",c12.294.644
dyspareunia,c12.294.644.242
erectile dysfunction,c12.294.644.486
"impotence, vasculogenic",c12.294.644.486.500
premature ejaculation,c12.294.644.743
sexually transmitted diseases,c12.294.668
"sexually transmitted diseases, bacterial",c12.294.668.281
chancroid,c12.294.668.281.201
chlamydia infections,c12.294.668.281.301
lymphogranuloma venereum,c12.294.668.281.301.490
gonorrhea,c12.294.668.281.401
granuloma inguinale,c12.294.668.281.451
syphilis,c12.294.668.281.859
spermatic cord torsion,c12.294.693
spermatocele,c12.294.731
testicular diseases,c12.294.829
cryptorchidism,c12.294.829.258
orchitis,c12.294.829.493
testicular hydrocele,c12.294.882
"tuberculosis, male genital",c12.294.909
varicocele,c12.294.936
pelvic floor disorders,c12.483
"tuberculosis, urogenital",c12.672
"tuberculosis, male genital",c12.672.721
"tuberculosis, renal",c12.672.847
urogenital abnormalities,c12.706
bladder exstrophy,c12.706.132
cryptorchidism,c12.706.258
disorders of sex development,c12.706.316
"46, xx disorders of sex development",c12.706.316.064
"46, xx testicular disorders of sex development",c12.706.316.064.124
"gonadal dysgenesis, 46,xx",c12.706.316.064.249
hyperandrogenism,c12.706.316.064.500
adrenogenital syndrome,c12.706.316.090
"adrenal hyperplasia, congenital",c12.706.316.090.500
hyperandrogenism,c12.706.316.090.750
"disorder of sex development, 46,xy",c12.706.316.096
androgen-insensitivity syndrome,c12.706.316.096.500
denys-drash syndrome,c12.706.316.096.562
frasier syndrome,c12.706.316.096.624
"gonadal dysgenesis, 46,xy",c12.706.316.096.687
gonadoblastoma,c12.706.316.096.687.500
kallmann syndrome,c12.706.316.096.750
wagr syndrome,c12.706.316.096.875
gonadal dysgenesis,c12.706.316.309
"gonadal dysgenesis, 46,xx",c12.706.316.309.193
"gonadal dysgenesis, 46,xy",c12.706.316.309.388
gonadoblastoma,c12.706.316.309.388.500
"gonadal dysgenesis, mixed",c12.706.316.309.391
sexual infantilism,c12.706.316.309.631
turner syndrome,c12.706.316.309.872
ovotesticular disorders of sex development,c12.706.316.343
sex chromosome disorders of sex development,c12.706.316.795
freemartinism,c12.706.316.795.124
"gonadal dysgenesis, mixed",c12.706.316.795.249
klinefelter syndrome,c12.706.316.795.500
turner syndrome,c12.706.316.795.750
epispadias,c12.706.374
fraser syndrome,c12.706.410
fused kidney,c12.706.445
hypospadias,c12.706.516
multicystic dysplastic kidney,c12.706.629
"nephritis, hereditary",c12.706.742
retrocaval ureter,c12.706.811
solitary kidney,c12.706.846
urinary fistula,c12.706.881
urinary bladder fistula,c12.706.881.312
urogenital neoplasms,c12.758
"genital neoplasms, male",c12.758.409
penile neoplasms,c12.758.409.500
prostatic neoplasms,c12.758.409.750
"prostatic neoplasms, castration-resistant",c12.758.409.750.500
testicular neoplasms,c12.758.409.937
sertoli-leydig cell tumor,c12.758.409.937.500
leydig cell tumor,c12.758.409.937.500.249
sertoli cell tumor,c12.758.409.937.500.500
urologic neoplasms,c12.758.820
kidney neoplasms,c12.758.820.750
"carcinoma, renal cell",c12.758.820.750.160
"nephroma, mesoblastic",c12.758.820.750.372
wilms tumor,c12.758.820.750.585
denys-drash syndrome,c12.758.820.750.585.220
wagr syndrome,c12.758.820.750.585.950
ureteral neoplasms,c12.758.820.875
urethral neoplasms,c12.758.820.937
urinary bladder neoplasms,c12.758.820.968
urologic diseases,c12.777
kidney diseases,c12.777.419
aids-associated nephropathy,c12.777.419.050
anuria,c12.777.419.078
chronic kidney disease-mineral and bone disorder,c12.777.419.080
diabetes insipidus,c12.777.419.135
"diabetes insipidus, nephrogenic",c12.777.419.135.500
"diabetes insipidus, neurogenic",c12.777.419.135.750
wolfram syndrome,c12.777.419.135.875
diabetic nephropathies,c12.777.419.192
hepatorenal syndrome,c12.777.419.291
hydronephrosis,c12.777.419.307
pyonephrosis,c12.777.419.307.500
hyperoxaluria,c12.777.419.313
"hyperoxaluria, primary",c12.777.419.313.500
"hypertension, renal",c12.777.419.331
"hypertension, renovascular",c12.777.419.331.490
kidney cortex necrosis,c12.777.419.393
"kidney diseases, cystic",c12.777.419.403
medullary sponge kidney,c12.777.419.403.500
multicystic dysplastic kidney,c12.777.419.403.750
polycystic kidney diseases,c12.777.419.403.875
"polycystic kidney, autosomal dominant",c12.777.419.403.875.500
"polycystic kidney, autosomal recessive",c12.777.419.403.875.510
kidney neoplasms,c12.777.419.473
"carcinoma, renal cell",c12.777.419.473.160
"nephroma, mesoblastic",c12.777.419.473.372
wilms tumor,c12.777.419.473.585
denys-drash syndrome,c12.777.419.473.585.220
wagr syndrome,c12.777.419.473.585.950
kidney papillary necrosis,c12.777.419.493
nephritis,c12.777.419.570
glomerulonephritis,c12.777.419.570.363
anti-glomerular basement membrane disease,c12.777.419.570.363.304
"glomerulonephritis, iga",c12.777.419.570.363.608
"glomerulonephritis, membranoproliferative",c12.777.419.570.363.615
"glomerulonephritis, membranous",c12.777.419.570.363.625
"glomerulosclerosis, focal segmental",c12.777.419.570.363.660
lupus nephritis,c12.777.419.570.363.680
"nephritis, hereditary",c12.777.419.570.620
"nephritis, interstitial",c12.777.419.570.643
balkan nephropathy,c12.777.419.570.643.150
pyelonephritis,c12.777.419.570.643.790
"pyelonephritis, xanthogranulomatous",c12.777.419.570.643.790.810
pyelitis,c12.777.419.570.821
pyelocystitis,c12.777.419.570.821.358
pyelonephritis,c12.777.419.570.821.717
"pyelonephritis, xanthogranulomatous",c12.777.419.570.821.717.810
nephrocalcinosis,c12.777.419.590
nephrolithiasis,c12.777.419.600
kidney calculi,c12.777.419.600.500
staghorn calculi,c12.777.419.600.500.500
nephrosclerosis,c12.777.419.610
nephrosis,c12.777.419.630
"nephrosis, lipoid",c12.777.419.630.477
nephrotic syndrome,c12.777.419.630.643
perinephritis,c12.777.419.685
renal artery obstruction,c12.777.419.775
renal insufficiency,c12.777.419.780
acute kidney injury,c12.777.419.780.050
"kidney tubular necrosis, acute",c12.777.419.780.050.500
cardio-renal syndrome,c12.777.419.780.400
"renal insufficiency, chronic",c12.777.419.780.750
"kidney failure, chronic",c12.777.419.780.750.500
frasier syndrome,c12.777.419.780.750.500.500
renal nutcracker syndrome,c12.777.419.787
"renal tubular transport, inborn errors",c12.777.419.815
"acidosis, renal tubular",c12.777.419.815.093
bartter syndrome,c12.777.419.815.279
dent disease,c12.777.419.815.364
fanconi syndrome,c12.777.419.815.450
gitelman syndrome,c12.777.419.815.491
"glycosuria, renal",c12.777.419.815.532
"hypophosphatemia, familial",c12.777.419.815.647
familial hypophosphatemic rickets,c12.777.419.815.647.500
liddle syndrome,c12.777.419.815.683
oculocerebrorenal syndrome,c12.777.419.815.720
pseudohypoaldosteronism,c12.777.419.815.770
renal aminoacidurias,c12.777.419.815.885
cystinuria,c12.777.419.815.885.250
hartnup disease,c12.777.419.815.885.457
"tuberculosis, renal",c12.777.419.912
uremia,c12.777.419.936
azotemia,c12.777.419.936.231
hemolytic-uremic syndrome,c12.777.419.936.463
atypical hemolytic uremic syndrome,c12.777.419.936.463.500
zellweger syndrome,c12.777.419.978
ureteral diseases,c12.777.725
ureteral neoplasms,c12.777.725.676
ureteral obstruction,c12.777.725.776
ureterocele,c12.777.725.876
ureterolithiasis,c12.777.725.938
ureteral calculi,c12.777.725.938.500
urethral diseases,c12.777.767
epispadias,c12.777.767.374
urethral neoplasms,c12.777.767.601
urethral obstruction,c12.777.767.700
urethral stricture,c12.777.767.700.700
urinary bladder neck obstruction,c12.777.767.700.962
urethritis,c12.777.767.851
urinary bladder diseases,c12.777.829
bladder exstrophy,c12.777.829.132
cystitis,c12.777.829.495
"cystitis, interstitial",c12.777.829.495.500
pyelocystitis,c12.777.829.495.750
cystocele,c12.777.829.707
urinary bladder calculi,c12.777.829.720
urinary bladder fistula,c12.777.829.733
urinary bladder neck obstruction,c12.777.829.760
urinary bladder neoplasms,c12.777.829.813
"urinary bladder, neurogenic",c12.777.829.839
"urinary bladder, overactive",c12.777.829.866
"urinary bladder, underactive",c12.777.829.893
vesico-ureteral reflux,c12.777.829.920
urinary tract infections,c12.777.892
bacteriuria,c12.777.892.219
pyuria,c12.777.892.719
schistosomiasis haematobia,c12.777.892.775
urination disorders,c12.777.934
anuria,c12.777.934.141
enuresis,c12.777.934.284
diurnal enuresis,c12.777.934.284.249
nocturnal enuresis,c12.777.934.284.500
glycosuria,c12.777.934.363
"glycosuria, renal",c12.777.934.363.450
hematuria,c12.777.934.442
oliguria,c12.777.934.600
polyuria,c12.777.934.616
proteinuria,c12.777.934.734
albuminuria,c12.777.934.734.269
hemoglobinuria,c12.777.934.734.634
urinary incontinence,c12.777.934.852
"urinary incontinence, stress",c12.777.934.852.249
"urinary incontinence, urge",c12.777.934.852.500
urinary retention,c12.777.934.880
urolithiasis,c12.777.967
nephrolithiasis,c12.777.967.249
kidney calculi,c12.777.967.249.500
staghorn calculi,c12.777.967.249.500.500
ureterolithiasis,c12.777.967.374
ureteral calculi,c12.777.967.374.500
urinary calculi,c12.777.967.500
kidney calculi,c12.777.967.500.503
staghorn calculi,c12.777.967.500.503.500
ureteral calculi,c12.777.967.500.851
urinary bladder calculi,c12.777.967.500.925
female urogenital diseases and pregnancy complications,c13
female urogenital diseases,c13.351
"genital diseases, female",c13.351.500
adnexal diseases,c13.351.500.056
fallopian tube diseases,c13.351.500.056.390
fallopian tube neoplasms,c13.351.500.056.390.390
salpingitis,c13.351.500.056.390.890
ovarian diseases,c13.351.500.056.630
anovulation,c13.351.500.056.630.050
"menopause, premature",c13.351.500.056.630.250
oophoritis,c13.351.500.056.630.450
ovarian cysts,c13.351.500.056.630.580
polycystic ovary syndrome,c13.351.500.056.630.580.765
ovarian hyperstimulation syndrome,c13.351.500.056.630.642
ovarian neoplasms,c13.351.500.056.630.705
brenner tumor,c13.351.500.056.630.705.265
"carcinoma, endometrioid",c13.351.500.056.630.705.331
"carcinoma, ovarian epithelial",c13.351.500.056.630.705.350
granulosa cell tumor,c13.351.500.056.630.705.398
hereditary breast and ovarian cancer syndrome,c13.351.500.056.630.705.431
luteoma,c13.351.500.056.630.705.464
meigs syndrome,c13.351.500.056.630.705.531
sertoli-leydig cell tumor,c13.351.500.056.630.705.648
thecoma,c13.351.500.056.630.705.765
primary ovarian insufficiency,c13.351.500.056.630.750
pelvic inflammatory disease,c13.351.500.056.750
endometritis,c13.351.500.056.750.249
oophoritis,c13.351.500.056.750.500
parametritis,c13.351.500.056.750.750
salpingitis,c13.351.500.056.750.875
endometriosis,c13.351.500.163
gynatresia,c13.351.500.320
herpes genitalis,c13.351.500.342
infertility,c13.351.500.365
"infertility, female",c13.351.500.365.700
reproductive tract infections,c13.351.500.630
"sexual dysfunction, physiological",c13.351.500.665
dyspareunia,c13.351.500.665.313
vaginismus,c13.351.500.665.656
sexually transmitted diseases,c13.351.500.711
"sexually transmitted diseases, bacterial",c13.351.500.711.281
chancroid,c13.351.500.711.281.201
chlamydia infections,c13.351.500.711.281.301
lymphogranuloma venereum,c13.351.500.711.281.301.490
gonorrhea,c13.351.500.711.281.401
granuloma inguinale,c13.351.500.711.281.451
syphilis,c13.351.500.711.281.859
"tuberculosis, female genital",c13.351.500.758
uterine diseases,c13.351.500.852
adenomyosis,c13.351.500.852.113
endometrial hyperplasia,c13.351.500.852.228
endometritis,c13.351.500.852.299
hematometra,c13.351.500.852.495
pyometra,c13.351.500.852.544
uterine cervical diseases,c13.351.500.852.593
uterine cervical dysplasia,c13.351.500.852.593.074
atypical squamous cells of the cervix,c13.351.500.852.593.074.249
squamous intraepithelial lesions of the cervix,c13.351.500.852.593.074.500
uterine cervical erosion,c13.351.500.852.593.112
uterine cervical incompetence,c13.351.500.852.593.120
uterine cervical neoplasms,c13.351.500.852.593.131
uterine cervicitis,c13.351.500.852.593.150
uterine hemorrhage,c13.351.500.852.691
menorrhagia,c13.351.500.852.691.449
metrorrhagia,c13.351.500.852.691.622
uterine inversion,c13.351.500.852.726
uterine neoplasms,c13.351.500.852.762
endometrial neoplasms,c13.351.500.852.762.200
endometrial stromal tumors,c13.351.500.852.762.200.500
"sarcoma, endometrial stromal",c13.351.500.852.762.200.500.500
uterine cervical neoplasms,c13.351.500.852.762.850
uterine prolapse,c13.351.500.852.833
uterine retroversion,c13.351.500.852.900
uterine rupture,c13.351.500.852.904
uterine perforation,c13.351.500.852.904.500
vaginal diseases,c13.351.500.894
hematocolpos,c13.351.500.894.300
hydrocolpos,c13.351.500.894.500
vaginal discharge,c13.351.500.894.700
leukorrhea,c13.351.500.894.700.500
vaginal fistula,c13.351.500.894.767
rectovaginal fistula,c13.351.500.894.767.249
vesicovaginal fistula,c13.351.500.894.767.500
vaginal neoplasms,c13.351.500.894.834
vaginismus,c13.351.500.894.870
vaginitis,c13.351.500.894.906
atrophic vaginitis,c13.351.500.894.906.316
trichomonas vaginitis,c13.351.500.894.906.633
"vaginosis, bacterial",c13.351.500.894.906.800
vulvovaginitis,c13.351.500.894.906.820
"candidiasis, vulvovaginal",c13.351.500.894.906.820.500
vulvar diseases,c13.351.500.944
pruritus vulvae,c13.351.500.944.626
vulvar lichen sclerosus,c13.351.500.944.815
vulvar neoplasms,c13.351.500.944.819
vulvitis,c13.351.500.944.902
