hsa-mir-7702,retinal neovascularization
hsa-mir-4301,respiratory system disease
hsa-mir-2392,hantavirus infections
hsa-mir-4446,arteriovenous malformations
hsa-mir-2116,precursor t-cell lymphoblastic leukemia-lymphoma
hsa-mir-597,neurofibromatosis type 2
hsa-mir-1229,"carcinoma, renal cell, chromophobe"
hsa-mir-1843,"sarcoma, kaposi"
hsa-let-7a-1,"lupus erythematosus, systemic"
hsa-mir-504,"carcinoma, hepatocellular, hbv-related"
hsa-mir-326,prediabetic state
hsa-mir-378h,recurrent wheezing
hsa-mir-107,"helplessness, learned"
hsa-mir-1266,"rhinitis, allergic"
hsa-mir-3131,chromosome 5q deletion syndrome
hsa-mir-489,neurodegenerative diseases
hsa-mir-378d-1,cerebral cavernous malformations
hsa-mir-421,"purpura, thrombocytopenic, idiopathic"
hsa-mir-1253,nephrotic syndrome
hsa-mir-875,"adenocarcinoma, esophageal"
hsa-mir-1972-1,autism spectrum disorder
hsa-mir-153-1,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-378f,cholesteatoma
hsa-mir-513b,epstein-barr virus infections
hsa-mir-520c,cognitive dysfunction
hsa-mir-23a,acute cerebral ischemia
hsa-mir-521-2,"adenocarcinoma, lung"
hsa-mir-9-2,dental enamel hypoplasia
hsa-mir-569,schizophrenia
hsa-mir-374a,light-induced retinal injury
hsa-mir-133a-1,neurilemmoma
hsa-mir-431,white spot syndrome virus 1
hsa-mir-302d,cardiac myocyte injury
hsa-mir-4775,"purpura, thrombocytopenic, idiopathic"
hsa-mir-548am,blindness
hsa-mir-320d-2,"diabetes mellitus, type 1"
hsa-mir-587,"fibromatosis, aggressive"
hsa-mir-7847,chronic pain
hsa-mir-4295,skin neoplasms
hsa-mir-384,fragile x syndrome
hsa-mir-320c-2,liver failure
hsa-mir-6826,prion diseases
hsa-mir-191,epilepsy
hsa-mir-2909,polycystic kidney diseases
hsa-mir-133a-1,diabetic cataract
hsa-mir-378c,cutaneous melanoma
hsa-mir-196b,liver neoplasms
hsa-mir-1282,rapidly progressive glomerulonephritis
hsa-mir-550a-2,pelvic organ prolapse
hsa-mir-4639,"dermatitis, allergic contact"
hsa-mir-500a,non-alcoholic fatty liver disease
hsa-mir-935,lesch-nyhan syndrome
hsa-mir-424,vitiligo
hsa-mir-513a-2,endocardial cushion defects
hsa-mir-369,"leukemia, t-cell"
hsa-mir-4282,hemoglobinopathies
hsa-mir-326,amyotrophic lateral sclerosis
hsa-mir-154,uveomeningoencephalitic syndrome
hsa-mir-711,"neoplasms, neuroepithelial"
hsa-mir-1302-4,polycystic kidney diseases
hsa-mir-548e,leiomyoma
hsa-mir-6068,invasive bladder transitional cell carcinoma
hsa-mir-4446,ganglioglioma
hsa-mir-518a-2,cocaine-related disorders
hsa-mir-3658,"depressive disorder, major"
hsa-mir-378c,heart failure
hsa-mir-593,"cytotoxicity tests, immunologic"
hsa-mir-514b,"shock, septic"
hsa-mir-491,moyamoya disease
hsa-mir-3130-2,hypoxia
hsa-mir-378d-2,pancreatic neoplasms
hsa-mir-4510,diabetic retinopathy
hsa-mir-137,prader-willi syndrome
hsa-mir-325,burkitt lymphoma
hsa-mir-802,retinal neovascularization
hsa-mir-514b,"infertility, male"
hsa-mir-27b,"squamous cell carcinoma, skin or unspecific"
hsa-mir-548p,hiv-associated lipodystrophy syndrome
hsa-mir-591,non-neoplastic diseases
hsa-mir-483,lung neoplasms
hsa-mir-299,hearing loss
hsa-mir-520c,cholangiocarcinoma
hsa-mir-5586,"hearing loss, central"
hsa-mir-99b,keloid
hsa-mir-433,"carcinoma, ductal"
hsa-mir-4306,"squamous cell carcinoma, maxillary sinus"
hsa-mir-346,embryonal testis carcinoma
hsa-mir-516a-1,chromosome 15q13.3 microdeletion syndrome
hsa-mir-7109,non-alcoholic fatty liver disease
hsa-mir-3619,dementia
hsa-mir-3646,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-1292,"anemia, aplastic"
hsa-mir-503,inferior wall myocardial infarction
hsa-mir-644a,"leukemia, myelogenous, chronic, bcr-abl positive"
hsa-mir-365b,diabetes mellitus
hsa-let-7c,"squamous cell carcinoma, head and neck"
hsa-mir-6852,triple negative breast neoplasms
hsa-mir-4317,gallbladder neoplasms
hsa-mir-512-1,myocardial ischemia
hsa-mir-1182,bile duct neoplasms
hsa-mir-4746,encephalitis
hsa-mir-1976,esophagitis
hsa-mir-513a-1,laryngeal neoplasms
hsa-mir-642b,balkan nephropathy
hsa-mir-4291,urinary bladder neoplasms
hsa-mir-185,"hepatitis, chronic"
hsa-mir-206,cholesteatoma
hsa-mir-193a,"adenocarcinoma, esophageal"
hsa-mir-519b,"hepatitis b, chronic"
hsa-mir-1827,"pancreatitis, acute necrotizing"
hsa-mir-495,"carcinoma, ovarian, clear cell"
hsa-mir-567,pituitary neoplasms
hsa-mir-1237,varicocele
hsa-mir-520b,eosinophilic esophagitis
hsa-mir-873,"carcinoma, hepatocellular, hcv-related"
hsa-mir-520a,rhabdomyosarcoma
hsa-mir-30c-1,feingold syndrome
hsa-mir-4496,hellp syndrome
hsa-mir-605,lymphedema
hsa-mir-144,generalized epilepsy with febrile seizures plus
hsa-mir-1843,"leukemia, megakaryoblastic, acute"
hsa-mir-3714,"carcinoma, pancreatic"
hsa-mir-570,supraglottitis
hsa-mir-329-1,precursor t-cell lymphoblastic leukemia-lymphoma
hsa-mir-199b,arteriosclerosis obliterans
hsa-mir-1253,"respiratory distress syndrome, adult"
hsa-mir-130b,odontogenic tumors
hsa-mir-937,trisomy 13 syndrome
hsa-mir-130b,gastrointestinal stromal tumors
hsa-mir-599,cutaneous melanoma
hsa-mir-1282,choriocarcinoma
hsa-mir-365b,behcet syndrome
hsa-mir-6133,uremic neuropathy
hsa-mir-193b,diabetes mellitus
hsa-mir-134,brain diseases
hsa-mir-520g,"lupus erythematosus, systemic"
hsa-mir-92a-2,sebaceous carcinoma
hsa-mir-1203,gaucher disease
hsa-mir-4731,chordoma
hsa-mir-4262,"pregnancy, ectopic"
hsa-mir-93,"liver diseases, alcoholic"
hsa-mir-4290,gestational trophoblastic disease
hsa-mir-548d-2,aneurysm
hsa-mir-4423,tibial meniscus injuries
hsa-mir-2682,cutaneous melanoma
hsa-mir-1247,chlamydia infections
hsa-mir-484,"myasthenic syndromes, congenital"
hsa-mir-524,chondrosarcoma
hsa-mir-615,graves disease
hsa-mir-384,tuberculosis
hsa-mir-200b,amyloidosis
hsa-mir-188,anus neoplasms
hsa-mir-5091,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-548ac,medulloblastoma
hsa-mir-1469,acute coronary syndrome
hsa-mir-3664,"abortion, spontaneous"
hsa-mir-1281,brucellosis
hsa-mir-16-1,inflammatory bowel diseases
hsa-mir-550a-1,neurilemmoma
hsa-mir-1909,endomyocardial fibrosis
hsa-mir-26a-1,cornea squamous cell carcinoma
hsa-mir-7847,retinal degeneration
hsa-mir-302d,tongue neoplasms
hsa-mir-450a-2,familial primary pulmonary hypertension
hsa-mir-19b-2,irritable bowel syndrome
hsa-mir-4295,huntington disease
hsa-mir-4721,carcinosarcoma
hsa-mir-518c,colitis
hsa-mir-411,"influenza, human"
hsa-mir-4706,fabry disease
hsa-mir-664a,"neoplasms, germ cell and embryonal"
hsa-mir-188,hearing loss
hsa-mir-4666a,"lichen planus, oral"
hsa-mir-1225,selective ige deficiency disease
hsa-mir-498,non-sensory diseases
hsa-mir-433,oropharyngeal neoplasms
hsa-mir-664b,corneal neovascularization
hsa-mir-519c,neutropenia
hsa-mir-1281,vulvar squamous cell carcinoma
hsa-mir-589,diabetic cataract
hsa-mir-518a-2,respiratory syncytial virus infections
hsa-mir-488,dermatomyositis
hsa-mir-199b,azoospermia
hsa-mir-562,schistosomiasis japonica
hsa-mir-103b-1,digestive system neoplasms
hsa-mir-6861,"lymphoma, primary effusion"
hsa-mir-380,intermittent claudication
hsa-mir-4530,pemphigus
hsa-mir-4505,waldenstrom macroglobulinemia
hsa-mir-6133,autoimmune diseases
hsa-mir-297,neutropenia
hsa-mir-3146,leiomyosarcoma
hsa-mir-26a-2,"leukemia, myeloid, acute, pediatric"
hsa-mir-518c,diabetic peripheral neuropathy
hsa-mir-6780b,myelodysplastic syndromes
hsa-mir-204,"squamous cell carcinoma, maxillary sinus"
hsa-mir-124-1,"neuralgia, postherpetic"
hsa-mir-196a-1,"liver failure, acute"
hsa-mir-6826,idiopathic asthenospermia
hsa-mir-510,perlman syndrome
hsa-mir-9-2,hyperhomocysteinemia
hsa-mir-3664,nephrolithiasis
hsa-mir-129-2,"leukemia, biphenotypic, acute"
hsa-mir-548am,"hepatitis, chronic"
hsa-mir-501,hyperaldosteronism
hsa-mir-3654,diabetic cataract
hsa-mir-107,"carcinoma, thyroid, follicular"
hsa-mir-339,chickenpox
hsa-mir-532,"lymphoma, t-cell"
hsa-mir-543,"abortion, spontaneous"
hsa-mir-15b,autoimmune diseases
hsa-mir-1324,rheumatic myocarditis
hsa-mir-3614,light-induced retinal injury
hsa-mir-4487,hepatitis b
hsa-mir-202,"leprosy, lepromatous"
hsa-mir-29b-1,heart transplant rejection
hsa-mir-3171,"cardiomyopathy, ischemic"
hsa-let-7d,graft vs host disease
hsa-mir-376a-1,diabetic cardiomyopathies
hsa-mir-548l,cerebral cavernous malformations
hsa-mir-550b-1,"carcinoma, non-small-cell lung"
hsa-mir-892b,"carcinoma, renal cell"
hsa-mir-429,"lymphoma, t-cell, cutaneous"
hsa-mir-19b-1,acute kidney injury
hsa-mir-3925,odontogenic tumors
hsa-mir-6875,"depressive disorder, major"
hsa-mir-216b,proliferative diabetic retinopathy
hsa-mir-6075,rhabdomyosarcoma
hsa-mir-1302-4,bile duct neoplasms
hsa-mir-33a,prediabetic state
hsa-mir-4290,anus neoplasms
hsa-mir-367,colorectal adenoma
hsa-mir-1301,celiac disease
hsa-mir-637,heart transplant rejection
hsa-mir-1976,congenital microtia
hsa-mir-4770,oligodendroglioma
hsa-mir-186,"infertility, male"
hsa-mir-301a,"leprosy, lepromatous"
hsa-mir-518e,"influenza, human"
hsa-mir-3175,thyroid neoplasms
hsa-mir-487b,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-521-1,fragile x syndrome
hsa-mir-520e,"cardiomyopathy, hypertrophic"
hsa-mir-5003,"adenocarcinoma, gastric-esophageal junction"
hsa-mir-101-2,"liposarcoma, myxoid"
hsa-mir-3147,inherited hemoglobin disease
hsa-mir-4709,osteogenesis imperfecta
hsa-mir-6831,"hepatitis, autoimmune"
hsa-mir-487b,uveal melanoma
hsa-mir-1915,"rhabdomyosarcoma, alveolar"
hsa-mir-20b,peripheral nerve injuries
hsa-mir-568,down syndrome
hsa-mir-4463,"leukemia, myelogenous, chronic, bcr-abl positive"
hsa-mir-4268,lupus vulgaris
hsa-mir-541,hyperaldosteronism
hsa-mir-610,coloboma
hsa-mir-595,osteoarthritis
hsa-mir-877,pediatric osteosarcoma
hsa-mir-1-2,intraductal papillary mucinous neoplasms
hsa-mir-26b,rhabdoid tumor
hsa-mir-1276,small intestine carcinoma
hsa-mir-216b,gallbladder neoplasms
hsa-mir-584,neuroendocrine tumors
hsa-mir-432,"muscular atrophy, spinal"
hsa-mir-4530,frontotemporal lobar degeneration
hsa-mir-4458,liver transplant rejection
hsa-mir-144,"carcinoma, mucoepidermoid"
hsa-mir-3714,odontogenic tumors
hsa-mir-361,macular degeneration
hsa-mir-874,"squamous cell carcinoma, skin or unspecific"
hsa-mir-875,"systemic lupus erythematosus, with pericarditis"
hsa-mir-520d,intracranial arteriovenous malformations
hsa-mir-933,skin injury
hsa-mir-4436b-2,"abortion, habitual"
hsa-mir-5091,"pancreatitis, acute necrotizing"
hsa-mir-577,myocarditis
hsa-mir-1306,renal oncocytoma
hsa-mir-19b-1,"leukemia, erythroblastic, acute"
hsa-mir-516a-2,"lipid metabolism, inborn errors"
hsa-mir-514b,pterygium
hsa-mir-98,mouth neoplasms
hsa-mir-4455,lymphoma
hsa-mir-3130-1,"carcinoma, ovarian, clear cell"
hsa-mir-378b,phyllodes tumor
hsa-mir-4764,hematologic neoplasms
hsa-mir-3923,"shock, hemorrhagic"
hsa-mir-506,essential hypertension
hsa-mir-4268,"carcinoma, periampullary"
hsa-mir-545,"carcinoma, hepatocellular, hcv-related"
hsa-mir-3162,coronavirus infections
hsa-mir-3654,"squamous cell carcinoma, tongue"
hsa-mir-493,chikungunya fever
hsa-mir-1322,heart failure
hsa-mir-4262,cytomegalovirus infections
hsa-mir-6782,"squamous cell carcinoma, lung"
hsa-mir-943,hearing loss
hsa-mir-1275,"neuroectodermal tumors, primitive"
hsa-mir-493,azoospermia
hsa-mir-3664,"carcinoma, renal cell"
hsa-mir-4257,pelvic inflammatory disease
hsa-mir-4463,aortic aneurysm
hsa-mir-1295a,"mastocytosis, systemic"
hsa-mir-1275,guillain-barre syndrome
hsa-mir-610,"pancreatitis, chronic"
hsa-mir-1321,cerebral cavernous malformations
hsa-mir-485,diabetic neuropathies
hsa-mir-2909,essential hypertension
hsa-mir-6734,stevens-johnson syndrome
hsa-mir-4274,enterovirus infections
hsa-mir-15b,salivary gland neoplasms
hsa-mir-922,"niemann-pick disease, type c"
hsa-mir-518a-2,hypogonadism
hsa-mir-154,intestinal barrier dysfunction
hsa-mir-4324,moyamoya disease
hsa-mir-192,inflammatory bowel diseases
hsa-mir-1293,cholestasis
hsa-mir-6068,"infertility, male"
hsa-mir-3614,lung neoplasms
hsa-mir-642b,osteoporosis
hsa-mir-4728,"lymphoma, t-cell"
hsa-mir-101-2,intellectual disability
hsa-mir-523,lesch-nyhan syndrome
hsa-mir-214,"encephalitis viruses, japanese"
hsa-mir-346,anus neoplasms
hsa-mir-665,blindness
hsa-mir-5187,mycobacterium avium-intracellulare infection
hsa-mir-30e,arthritis
hsa-mir-135a-1,"hemorrhagic fever, ebola"
hsa-mir-509-1,guillain-barre syndrome
hsa-mir-937,pediatric glioma
hsa-mir-142,fibrosarcoma
hsa-mir-320a,"neoplasms, neuroepithelial"
hsa-mir-579,lung diseases
hsa-mir-5582,pain
hsa-mir-103b-2,amyloidosis
hsa-mir-618,"squamous cell carcinoma, esophageal"
hsa-mir-424,diabetic angiopathies
hsa-mir-125b-1,multiple sulfatase deficiency disease
hsa-mir-516a-2,"thyroid carcinoma, anaplastic"
hsa-mir-4319,x-linked alport syndrome
hsa-mir-3130-1,urinary bladder neck obstruction
hsa-mir-1290,neuronal apoptosis-related diseases
hsa-mir-1305,ileus
hsa-mir-124-3,cone dystrophy
hsa-mir-218-1,biliary atresia
hsa-mir-376a-1,attention deficit disorder with hyperactivity
hsa-mir-3677,uterine cervical neoplasms
hsa-mir-2110,lymphoproliferative disorders
hsa-mir-544b,ileus
hsa-mir-1238,"arthritis, rheumatoid"
hsa-mir-593,"meningitis, pneumococcal"
hsa-mir-6069,gastroduodenal ulcer
hsa-mir-19b-2,digeorge syndrome
hsa-mir-140,"arthritis, juvenile"
hsa-mir-6133,nephrosclerosis
hsa-mir-4661,"squamous cell carcinoma, oral"
hsa-mir-4687,"muscular atrophy, spinal"
hsa-mir-4302,heart diseases
hsa-mir-550b-2,feingold syndrome
hsa-mir-1290,metabolic syndrome
hsa-mir-4436b-2,tibial meniscus injuries
hsa-mir-1273c,vulvar squamous cell carcinoma
hsa-mir-6853,peritoneal fibrosis
hsa-mir-522,dengue shock syndrome
hsa-mir-1294,encephalomyelitis
hsa-mir-3651,"carcinoma, gastrooesophageal"
hsa-mir-527,"leishmaniasis, visceral"
hsa-mir-26a-2,"lymphoma, large b-cell, diffuse"
hsa-mir-1277,"carcinoma, skin appendage"
hsa-mir-4793,urinary bladder neoplasms
hsa-mir-22,"fatigue syndrome, chronic"
hsa-mir-668,nephrolithiasis
hsa-mir-5584,"lymphoma, mantle-cell"
hsa-mir-342,"carcinoma, merkel cell"
hsa-mir-1843,"squamous cell carcinoma, maxillary sinus"
hsa-mir-490,helicobacter pylori
hsa-mir-2909,peripheral nervous system diseases
hsa-mir-491,polycystic ovary syndrome
hsa-mir-4458,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-3189,intellectual disability
hsa-mir-4284,lichen planus
hsa-mir-873,long qt syndrome
hsa-mir-423,x-linked alport syndrome
hsa-mir-4775,hematologic neoplasms
hsa-mir-6852,"sarcoidosis, pulmonary"
hsa-mir-520c,"squamous cell carcinoma, head and neck"
hsa-mir-548a-1,pediatric obesity
hsa-mir-374c,silicosis
hsa-mir-515-1,mitral valve disease
hsa-mir-6880,gallstones
hsa-mir-487a,"carcinoma, oral"
hsa-mir-337,pulmonary embolism
hsa-mir-575,"meningitis, pneumococcal"
hsa-mir-654,"squamous cell carcinoma, skin or unspecific"
hsa-mir-561,crohn disease
hsa-mir-188,sjogren's syndrome
hsa-mir-19a,embryonal testis carcinoma
hsa-mir-1227,sarcomatoid mesothelioma
hsa-mir-3162,tibial meniscus injuries
hsa-mir-4648,thrombocytosis
hsa-mir-6826,anemia
hsa-mir-590,capsule opacification
hsa-mir-648,"abortion, spontaneous"
hsa-mir-16-2,neuroma
hsa-mir-3188,wound healing
hsa-mir-1204,porcine reproductive and respiratory syndrome virus infection
hsa-mir-302d,"lymphoma, mantle-cell"
hsa-mir-922,endometriosis
hsa-mir-548d-2,pre-eclampsia
hsa-let-7f-1,musculoskeletal abnormalities
hsa-mir-19b-1,familial mediterranean fever
hsa-mir-139,nasal cavity inverting papilloma
hsa-mir-3682,thrombocytopenia
hsa-mir-138-2,diabetic cataract
hsa-mir-4787,autoimmune diseases
hsa-mir-198,"aortic aneurysm, thoracic"
hsa-mir-203b,thyroid neoplasms
hsa-mir-138-1,asthma
hsa-mir-4756,"leukemia, t-cell"
hsa-mir-331,"leukemia, lymphoblastic, acute, b-cell"
hsa-mir-5091,"corneal dystrophies, hereditary"
hsa-mir-323b,vascular hypertrophy
hsa-mir-487a,rhabdoid tumor
hsa-mir-562,"leukemia, b-cell"
hsa-mir-1225,peripheral nerve injuries
hsa-mir-601,"hepatitis, chronic"
hsa-mir-4293,nasal cavity inverting papilloma
hsa-mir-146b,meningioma
hsa-mir-142,"fibromatosis, aggressive"
hsa-mir-139,barrett esophagus
hsa-mir-320d-1,lupus nephritis
hsa-let-7f-2,depressive disorder
hsa-mir-892b,"systemic lupus erythematosus, with pericarditis"
hsa-mir-4490,cytomegalovirus retinitis
hsa-mir-500a,"kidney failure, chronic"
hsa-mir-345,hemoglobinopathies
hsa-mir-519d,waldenstrom macroglobulinemia
hsa-mir-4728,glaucoma
hsa-mir-3925,obesity
hsa-mir-3138,pancreatic adenocarcinoma
hsa-mir-342,brain diseases
hsa-mir-3130-1,hirschsprung disease
hsa-mir-2355,ileus
hsa-mir-5582,retinoblastoma
hsa-mir-499b,"carcinoma, thyroid, papillary"
hsa-mir-4295,"anemia, aplastic"
hsa-mir-512-2,"glomerulonephritis, iga"
hsa-mir-138-1,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-1288,hepatitis c
hsa-mir-107,peritonitis
hsa-mir-552,early-stage colon adenocarcinoma
hsa-mir-9-2,bicuspid aortic valve disease
hsa-mir-4782,cognitive dysfunction
hsa-mir-125a,osteoporosis
hsa-mir-517a,muscular dystrophies
hsa-mir-302c,azoospermia
hsa-mir-198,uveal melanoma
hsa-mir-4672,lofgren syndrome
hsa-mir-889,"lung diseases, interstitial"
hsa-mir-649,oral submucous fibrosis
hsa-mir-635,"sarcoma, endometrial stromal"
hsa-mir-9-2,fabry disease
hsa-mir-548a-3,stevens-johnson syndrome
hsa-mir-767,musculoskeletal abnormalities
hsa-mir-192,"sarcoma, synovial"
hsa-mir-34a,seminoma
hsa-mir-153-1,peritonitis
hsa-mir-6836,colitis
hsa-mir-6831,friedreich ataxia
hsa-mir-1252,"leukemia, t-cell"
hsa-mir-9500,small intestine carcinoma
hsa-mir-499b,"leukemia, myeloid, acute, pediatric"
hsa-mir-561,aortic valve disease
hsa-mir-4664,hepatoblastoma
hsa-mir-203b,"leukemia-lymphoma, adult t-cell"
hsa-mir-3646,"dermatitis, allergic contact"
hsa-mir-3182,neuronal apoptosis-related diseases
hsa-mir-548q,hyperlipidemias
hsa-mir-378e,"aortic aneurysm, thoracic"
hsa-mir-4466,reproductive system disease
hsa-mir-19b-2,diabetic neuropathies
hsa-mir-4510,"carcinoma, urothelial, upper tract"
hsa-mir-1910,hiv infections
hsa-mir-19b-1,"diabetes mellitus, type 2"
hsa-mir-24-1,cholangiocarcinoma
hsa-mir-516b-1,"cardiomyopathy, alcoholic"
hsa-mir-4728,rectal neoplasms
hsa-mir-1255a,prediabetic state
hsa-mir-383,"liver cirrhosis, biliary"
hsa-mir-1264,silicosis
hsa-mir-1253,vascular system injuries
hsa-mir-153-1,"rhinitis, vasomotor"
hsa-mir-3686,invasive bladder transitional cell carcinoma
hsa-mir-380,polycystic kidney diseases
hsa-mir-155,pituitary neoplasms
hsa-mir-4429,"hepatitis, alcoholic"
hsa-mir-409,hypertrophy
hsa-mir-3147,smoke inhalation injury
hsa-mir-6886,"hepatitis b, chronic"
hsa-mir-1303,alcoholism
hsa-mir-1297,liver failure
hsa-mir-4795,oral submucous fibrosis
hsa-mir-365b,peritoneal neoplasms
hsa-mir-637,status epilepticus
hsa-let-7e,myotonic dystrophy
hsa-mir-612,severe acute respiratory syndrome
hsa-mir-555,"scleroderma, systemic"
hsa-mir-1206,multiple sclerosis
hsa-mir-451b,sjogren's syndrome
hsa-mir-181c,"carcinoma, signet ring cell"
hsa-mir-1203,glomerulonephritis
hsa-mir-134,"carcinoma, neuroendocrine"
hsa-mir-1252,"angina, unstable"
hsa-mir-658,varicocele
hsa-mir-513a-1,pituitary neoplasms
hsa-mir-5584,"thrombocythemia, essential"
hsa-mir-586,smoke inhalation injury
hsa-mir-6069,allergic asthma
hsa-mir-4306,renal oncocytoma
hsa-mir-6126,congenital deafness
hsa-mir-675,listeriosis
hsa-mir-4291,"carcinoma, renal cell, chromophobe"
hsa-mir-874,myositis ossificans
hsa-mir-450a-1,"abortion, spontaneous"
hsa-mir-4772,wilms tumor
hsa-mir-664a,"lymphoma, extranodal nk-t-cell"
hsa-mir-337,sezary syndrome
hsa-mir-92a-1,hearing loss
hsa-mir-378e,hiv-associated lipodystrophy syndrome
hsa-mir-3928,lung injury
hsa-mir-3188,ossification of posterior longitudinal ligament
hsa-mir-4295,monocytic leukemia
hsa-mir-605,"lymphohistiocytosis, hemophagocytic"
hsa-mir-6782,atypical teratoid tumor
hsa-mir-5692b,multiple sclerosis
hsa-mir-3924,"hernia, diaphragmatic"
hsa-mir-300,"anemia, aplastic"
hsa-mir-922,neuroma
hsa-mir-606,"osteoarthritis, knee"
hsa-mir-329-2,mouth neoplasms
hsa-mir-508,fetal alcohol spectrum disorders
hsa-mir-1185-1,pulmonary heart disease
hsa-mir-3201,amyloidosis
hsa-mir-526b,nephrosclerosis
hsa-mir-2909,"lymphoma, non-hodgkin"
hsa-mir-196a-2,"enterocolitis, necrotizing"
hsa-mir-216a,"abortion, habitual"
hsa-mir-205,myotonic dystrophy
hsa-mir-941-4,lymphoproliferative disorders
hsa-mir-506,"carcinoma, adenoid cystic"
hsa-mir-7515,sepsis
hsa-mir-155,pterygium
hsa-mir-632,porphyromonas gingivalis
hsa-mir-3646,bronchopneumonia
hsa-mir-26a-1,chronic cerebral hypoperfusion
hsa-mir-944,acute lung injury
hsa-mir-5091,"carcinoma, ovarian, clear cell"
hsa-mir-215,hemangiosarcoma
hsa-mir-527,small intestine carcinoma
hsa-mir-1260a,guillain-barre syndrome
hsa-mir-3923,intestinal diseases
hsa-mir-2909,infection
hsa-mir-3179-1,brain ischemia
hsa-mir-99a,chondrosarcoma
hsa-mir-4480,invasive bladder transitional cell carcinoma
hsa-mir-4458,chagas disease
hsa-mir-455,frontotemporal dementia
hsa-mir-5003,spinal stenosis
hsa-mir-513b,endotoxemia
hsa-mir-1321,nasal cavity inverting papilloma
hsa-mir-340,"leukemia, lymphoblastic, acute, b-cell"
hsa-mir-9500,pediatric glioma
hsa-mir-302c,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-103a-1,cardiac myocyte injury
hsa-mir-1302-3,"cicatrix, hypertrophic"
hsa-mir-1302-4,"carcinoma, thyroid, papillary"
hsa-mir-302b,"carcinoma, periampullary"
hsa-mir-135a-1,testicular neoplasms
hsa-mir-4726,"hepatitis, autoimmune"
hsa-mir-4721,fragile x syndrome
hsa-mir-643,hiv infections
hsa-mir-568,asthma
hsa-mir-4274,liver diseases
hsa-mir-300,muscular atrophy
hsa-mir-4723,gliosis
hsa-mir-4484,penis carcinoma
hsa-mir-4518,cataract
hsa-mir-1284,lesch-nyhan syndrome
hsa-mir-4784,"adenocarcinoma, gastric-esophageal junction"
hsa-mir-128-2,"leukemia, myeloid, acute"
hsa-mir-3151,endocrine gland neoplasms
hsa-mir-3666,tourette syndrome
hsa-mir-365b,cytomegalovirus retinitis
hsa-mir-496,azoospermia
hsa-mir-1303,"sleep apnea, obstructive"
hsa-mir-218-1,fibrosarcoma
hsa-mir-3135b,biliary tract neoplasms
hsa-mir-342,"leukemia, t-cell"
hsa-mir-4469,moyamoya disease
hsa-mir-516a-2,"lung diseases, interstitial"
hsa-mir-3666,growth hormone-secreting pituitary adenoma
hsa-mir-520h,nevus
hsa-mir-3619,dengue
hsa-mir-1909,pulmonary heart disease
hsa-mir-30d,chromosome 15q13.3 microdeletion syndrome
hsa-mir-4447,"leukemia, erythroblastic, acute"
hsa-mir-521-2,colon adenoma
hsa-mir-30e,leukemia
hsa-mir-600,"myasthenic syndromes, congenital"
hsa-mir-3131,x-linked alport syndrome
hsa-mir-25,muscular dystrophies
hsa-mir-1-2,sertoli cell-only syndrome
hsa-mir-409,hypersensitivity
hsa-mir-515-1,childhood leukemia
hsa-mir-374a,heart diseases
hsa-mir-25,vitiligo
hsa-mir-197,early-stage cervical squamous cell carcinoma
hsa-mir-4271,cardio-renal syndrome
hsa-mir-1245b,"hernia, diaphragmatic"
hsa-mir-107,schistosomiasis japonica
hsa-mir-1285-2,"muscular dystrophy, duchenne"
hsa-mir-4463,"adenocarcinoma, lung"
hsa-mir-485,"pregnancy, ectopic"
hsa-mir-340,bicuspid aortic valve disease
hsa-mir-514a-3,primary ovarian insufficiency
hsa-mir-558,dementia
hsa-mir-449b,neuroma
hsa-mir-676,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-513c,"hemorrhagic fever, ebola"
hsa-mir-197,odontogenic tumors
hsa-mir-586,"epilepsy, temporal lobe"
hsa-mir-1297,rectum adenocarcinoma
hsa-mir-764,congenital microtia
hsa-mir-525,"small cell carcinoma, esophageal"
hsa-mir-148b,lung diseases
hsa-mir-451b,"chromosome 22q11.2 deletion syndrome, distal"
hsa-mir-10b,acute coronary syndrome
hsa-mir-105-2,peritoneal fibrosis
hsa-mir-642b,sebaceous carcinoma
hsa-mir-3908,lung neoplasms
hsa-let-7e,irritable bowel syndrome
hsa-mir-194-2,"aortic aneurysm, thoracic"
hsa-mir-7109,precursor t-cell lymphoblastic leukemia-lymphoma
hsa-mir-362,graft rejection
hsa-mir-1293,"adenocarcinoma, lung"
hsa-mir-147a,migraine disorders
hsa-mir-3614,huntington disease
hsa-mir-4687,familial mediterranean fever
hsa-mir-513c,endometrial neoplasms
hsa-mir-660,esophagitis
hsa-mir-27b,hemoglobinopathies
hsa-mir-1245b,azoospermia
hsa-mir-4436b-2,parathyroid neoplasms
hsa-mir-190b,"lung diseases, interstitial"
hsa-mir-107,uveomeningoencephalitic syndrome
hsa-mir-1206,skin diseases
hsa-mir-4469,familial primary pulmonary hypertension
hsa-mir-1237,precursor t-cell lymphoblastic leukemia-lymphoma
hsa-mir-320d-2,"respiratory distress syndrome, adult"
